Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArrayVsNullAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArrayVsNullAndMessageSupplier.(lambda_expr_2),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArrays,2,,,,,,,1,7
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArrays.(lambda_expr_1),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArraysOfDifferentLength,2,,,,,,,1,9
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArraysOfDifferentLengthAndMessage,2,,,,,,,1,10
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArraysOfDifferentLengthAndMessageSupplier,3,,,,,,,1,10
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsBooleanArraysOfDifferentLengthAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArrayVsNull,3,,,,,,,1,16
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArrayVsNullAndMessage,3,,,,,,,1,18
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArrayVsNullAndMessageSupplier,5,,,,,,,1,18
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArrayVsNullAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArrayVsNullAndMessageSupplier.(lambda_expr_2),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArrays,2,,,,,,,1,7
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArrays.(lambda_expr_1),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArraysOfDifferentLength,2,,,,,,,1,9
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArraysOfDifferentLengthAndMessage,2,,,,,,,1,10
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArraysOfDifferentLengthAndMessageSupplier,3,,,,,,,1,10
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsByteArraysOfDifferentLengthAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArrayVsNull,3,,,,,,,1,16
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArrayVsNullAndMessage,3,,,,,,,1,18
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArrayVsNullAndMessageSupplier,5,,,,,,,1,18
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArrayVsNullAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArrayVsNullAndMessageSupplier.(lambda_expr_2),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArrays,2,,,,,,,1,7
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArrays.(lambda_expr_1),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArraysOfDifferentLength,2,,,,,,,1,9
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArraysOfDifferentLengthAndMessage,2,,,,,,,1,10
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArraysOfDifferentLengthAndMessageSupplier,3,,,,,,,1,10
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsCharArraysOfDifferentLengthAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentDoubleArrays,3,,,,,,,1,16
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentDoubleArraysAndMessage,2,,,,,,,1,11
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentDoubleArraysAndMessageSupplier,3,,,,,,,1,10
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentDoubleArraysAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentFloatArrays,3,,,,,,,1,17
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentFloatArraysAndMessage,2,,,,,,,1,11
Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentFloatArraysAndMessageSupplier,3,,,,,,,1,11
Lambda Method,org.junit.jupiter.api.AssertArrayEqualsAssertionsTests.assertArrayEqualsDeltaDifferentFloatArraysAndMessageSupplier.(lambda_expr_1),1,,,,,,,1,1
