Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.platform.engine.support.hierarchical.ForkJoinPoolHierarchicalTestExecutorService,26,1,1,78,0,11,14,,127
Private Class,org.junit.platform.engine.support.hierarchical.NodeTestTask.DefaultDynamicTestExecutor,9,1,1,33,0,13,3,,43
Public Class,org.junit.platform.engine.support.hierarchical.OpenTest4JAwareThrowableCollector,1,1,2,0,0,0,1,,5
Public Class,org.junit.platform.engine.support.hierarchical.SameThreadHierarchicalTestExecutorService,4,1,1,0,0,1,4,,16
Private Class,org.junit.platform.engine.support.hierarchical.SingleLock.SingleLockManagedBlocker,2,1,1,0,0,1,2,,13
Public Class,org.junit.platform.engine.support.hierarchical.SingleTestExecutor,3,1,1,0,0,3,1,,19
Public Class,org.junit.platform.engine.support.hierarchical.ThrowableCollector,16,1,1,55,2,5,9,,64
Public Class,org.junit.platform.fakes.TestDescriptorStub,3,1,2,0,8,2,2,,9
Public Class,org.junit.platform.fakes.TestEngineSpy,3,1,1,66,2,6,3,,20
Public Class,org.junit.platform.fakes.TestEngineStub,5,1,1,60,13,5,5,,20
Public Class,org.junit.platform.jfr.FlightRecordingDiscoveryListener,4,1,1,50,0,8,4,,52
Public Class,org.junit.platform.jfr.FlightRecordingDiscoveryListenerIntegrationTests,1,1,1,0,0,6,1,,19
Public Class,org.junit.platform.jfr.FlightRecordingExecutionListener,7,1,1,66,0,9,6,,107
Public Class,org.junit.platform.jfr.FlightRecordingExecutionListenerIntegrationTests,1,1,1,0,0,7,1,,44
Public Class,org.junit.platform.launcher.EngineDiscoveryResult,6,1,1,50,0,2,6,,32
Public Class,org.junit.platform.launcher.EngineFilter,16,1,1,60,0,4,10,,64
Public Class,org.junit.platform.launcher.LauncherConstants,1,1,1,0,0,1,1,,12
Public Class,org.junit.platform.launcher.PostDiscoveryFilterStub,2,1,2,0,0,0,2,,8
Public Class,org.junit.platform.launcher.TagFilter,21,1,1,0,0,7,14,,64
Public Class,org.junit.platform.launcher.TestIdentifier,22,1,1,76,0,8,19,,164
Public Class,org.junit.platform.launcher.TestLauncherDiscoveryListener,4,2,1,0,0,0,2,,16
Public Class,org.junit.platform.launcher.TestLauncherSessionListener,4,2,1,0,0,0,2,,16
Public Class,org.junit.platform.launcher.TestPlan,24,1,1,85,1,8,15,,100
Public Class,org.junit.platform.launcher.TestPostDiscoveryTagFilter,1,1,1,0,0,3,1,,7
Public Class,org.junit.platform.launcher.core.ConfigurationParametersFactoryForTests,2,1,1,0,0,3,2,,10
Public Class,org.junit.platform.launcher.core.EngineDiscoveryOrchestrator,24,1,1,87,0,21,14,,131
Public Class,org.junit.platform.launcher.core.EngineExecutionOrchestrator,14,1,1,77,0,18,9,,88
Public Class,org.junit.platform.launcher.core.LauncherDiscoveryRequestBuilder,21,1,1,86,0,14,15,,117
Public Class,org.junit.platform.launcher.core.LauncherDiscoveryResult,9,1,1,35,0,3,7,,34
Public Class,org.junit.platform.launcher.core.LauncherFactory,17,1,1,0,0,20,12,,74
Public Class,org.junit.platform.launcher.core.LauncherFactoryForTestingPurposesOnly,2,1,1,0,0,5,2,,15
Public Class,org.junit.platform.launcher.core.ListenerRegistryTests,8,1,1,0,0,4,3,,21
Public Class,org.junit.platform.launcher.core.ServiceLoaderTestEngineRegistry,3,1,1,0,0,5,2,,11
Public Class,org.junit.platform.launcher.listeners.AnotherUnusedTestExecutionListener,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.launcher.listeners.LegacyReportingUtils,7,1,1,0,0,4,5,,29
Public Class,org.junit.platform.launcher.listeners.LoggingListener,14,1,1,83,0,4,12,,48
Public Class,org.junit.platform.launcher.listeners.NoopTestExecutionListener,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.launcher.listeners.OutputDir,18,1,1,50,0,1,6,,65
Public Class,org.junit.platform.launcher.listeners.SummaryGeneratingListener,22,1,1,43,0,7,8,,85
Public Class,org.junit.platform.launcher.listeners.UniqueIdTrackingListener,14,1,1,71,0,7,7,,55
Public Class,org.junit.platform.launcher.listeners.UnusedTestExecutionListener,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.launcher.listeners.discovery.LauncherDiscoveryListeners,12,1,1,0,0,7,6,,47
Public Class,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,5,1,2,0,0,11,5,,81
Public Class,org.junit.platform.launcher.listeners.session.LauncherSessionListeners,4,2,1,0,0,3,2,,15
Public Class,org.junit.platform.reporting.legacy.LegacyReportingUtils,2,1,1,0,0,3,2,,8
Public Class,org.junit.platform.reporting.legacy.xml.LegacyXmlReportGeneratingListener,16,1,1,73,0,7,13,,71
Public Class,org.junit.platform.reporting.open.xml.OpenTestReportGeneratingListener,38,1,1,66,0,19,12,,164
Public Class,org.junit.platform.reporting.open.xml.OpenTestReportGeneratingListenerTests,2,1,1,0,0,11,1,,83
Public Class,org.junit.platform.runner.JUnitPlatform,12,1,2,62,0,16,9,,65
Public Class,org.junit.platform.suite.commons.SuiteLauncherDiscoveryRequestBuilder,25,1,1,84,0,30,16,,140
Private Class,org.junit.platform.suite.engine.SuiteEngineTests.InnerSuite,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.suite.engine.SuiteTestEngine,6,1,1,0,0,10,5,,31
Public Class,org.junit.platform.suite.engine.testcases.DynamicTestsTestCase,3,1,1,0,0,1,1,,9
